 2016-11-15 21:30:41 INFO::objective : 1
 2016-11-15 21:30:41 INFO::base_score : 7
2016-11-15 21:34:46 INFO::model : 1
 2016-11-15 21:34:46 INFO::rmsle : 0.545662019437403
 2016-11-15 21:34:46 INFO::rmse : 1982.16406550308
 2016-11-15 21:34:46 INFO::mae : 1165.73886498623
 2016-11-15 21:34:46 INFO::nrounds : 240
 2016-11-15 21:34:46 INFO::eta : 0.1
 2016-11-15 21:34:46 INFO::max_depth : 7
 2016-11-15 21:34:46 INFO::min_child_weight : 100
 2016-11-15 21:34:46 INFO::subsample : 0.2
 2016-11-15 21:34:46 INFO::colsample_bytree : 0.6
 2016-11-15 21:34:46 INFO::scale_pos_weight : 1
 2016-11-15 21:34:46 INFO::gamma : 0
 2016-11-15 21:34:46 INFO::objective : 1
 2016-11-15 21:34:46 INFO::base_score : 7
2016-11-15 21:39:39 INFO::model : 1
 2016-11-15 21:39:39 INFO::rmsle : 0.541695573403509
 2016-11-15 21:39:39 INFO::rmse : 1964.16229874306
 2016-11-15 21:39:39 INFO::mae : 1156.52348508213
 2016-11-15 21:39:39 INFO::nrounds : 240
 2016-11-15 21:39:39 INFO::eta : 0.1
 2016-11-15 21:39:39 INFO::max_depth : 7
 2016-11-15 21:39:39 INFO::min_child_weight : 100
 2016-11-15 21:39:39 INFO::subsample : 0.4
 2016-11-15 21:39:39 INFO::colsample_bytree : 0.6
 2016-11-15 21:39:39 INFO::scale_pos_weight : 1
 2016-11-15 21:39:39 INFO::gamma : 0
 2016-11-15 21:39:39 INFO::objective : 1
 2016-11-15 21:39:39 INFO::base_score : 7
2016-11-15 21:45:00 INFO::model : 1
 2016-11-15 21:45:00 INFO::rmsle : 0.539912338532761
 2016-11-15 21:45:00 INFO::rmse : 1952.91000871526
 2016-11-15 21:45:00 INFO::mae : 1151.66628463856
 2016-11-15 21:45:00 INFO::nrounds : 240
 2016-11-15 21:45:00 INFO::eta : 0.1
 2016-11-15 21:45:00 INFO::max_depth : 7
 2016-11-15 21:45:00 INFO::min_child_weight : 100
 2016-11-15 21:45:00 INFO::subsample : 0.6
 2016-11-15 21:45:00 INFO::colsample_bytree : 0.6
 2016-11-15 21:45:00 INFO::scale_pos_weight : 1
 2016-11-15 21:45:00 INFO::gamma : 0
 2016-11-15 21:45:00 INFO::objective : 1
 2016-11-15 21:45:00 INFO::base_score : 7
2016-11-15 21:50:09 INFO::model : 1
 2016-11-15 21:50:09 INFO::rmsle : 0.538921649228242
 2016-11-15 21:50:09 INFO::rmse : 1950.8755787106
